time;air_temperature
2025-02-22 00:00:00+00:00;2.9333333333333336
2025-02-22 01:00:00+00:00;3.75
2025-02-22 02:00:00+00:00;3.9166666666666665
2025-02-22 03:00:00+00:00;3.5833333333333335
2025-02-22 04:00:00+00:00;4.533333333333333
2025-02-22 05:00:00+00:00;4.583333333333333
2025-02-22 06:00:00+00:00;4.583333333333333
2025-02-22 07:00:00+00:00;4.45
2025-02-22 08:00:00+00:00;4.433333333333334
2025-02-22 09:00:00+00:00;4.333333333333333
2025-02-22 10:00:00+00:00;4.466666666666667
2025-02-22 11:00:00+00:00;4.75
2025-02-22 12:00:00+00:00;4.566666666666666
2025-02-22 13:00:00+00:00;4.95
2025-02-22 14:00:00+00:00;4.683333333333334
2025-02-22 15:00:00+00:00;4.366666666666666
2025-02-22 16:00:00+00:00;4.3
2025-02-22 17:00:00+00:00;4.066666666666666
2025-02-22 18:00:00+00:00;4.0
2025-02-22 19:00:00+00:00;3.8833333333333333
2025-02-22 20:00:00+00:00;3.7399999999999998
2025-02-22 21:00:00+00:00;3.516666666666667
2025-02-22 22:00:00+00:00;3.4166666666666665
2025-02-22 23:00:00+00:00;2.933333333333333
2025-02-23 00:00:00+00:00;2.9499999999999997
2025-02-23 01:00:00+00:00;3.16
2025-02-23 02:00:00+00:00;2.733333333333333
2025-02-23 03:00:00+00:00;2.6166666666666667
2025-02-23 04:00:00+00:00;2.52
2025-02-23 05:00:00+00:00;2.0833333333333335
2025-02-23 06:00:00+00:00;1.9166666666666667
2025-02-23 07:00:00+00:00;2.066666666666667
2025-02-23 08:00:00+00:00;2.2333333333333334
2025-02-23 09:00:00+00:00;2.4833333333333334
2025-02-23 10:00:00+00:00;2.6999999999999997
2025-02-23 11:00:00+00:00;2.8833333333333333
2025-02-23 12:00:00+00:00;3.6166666666666667
2025-02-23 13:00:00+00:00;3.733333333333333
2025-02-23 14:00:00+00:00;4.016666666666667
2025-02-23 15:00:00+00:00;4.283333333333333
2025-02-23 16:00:00+00:00;4.25
2025-02-23 17:00:00+00:00;3.8166666666666664
2025-02-23 18:00:00+00:00;3.6666666666666665
2025-02-23 19:00:00+00:00;3.6166666666666667
2025-02-23 20:00:00+00:00;3.733333333333333
2025-02-23 21:00:00+00:00;3.4
2025-02-23 22:00:00+00:00;3.1
2025-02-23 23:00:00+00:00;3.0500000000000003
2025-02-24 00:00:00+00:00;3.1333333333333333
2025-02-24 01:00:00+00:00;3.22
2025-02-24 02:00:00+00:00;3.75
2025-02-24 03:00:00+00:00;4.5
2025-02-24 04:00:00+00:00;5.266666666666667
2025-02-24 05:00:00+00:00;5.766666666666667
2025-02-24 06:00:00+00:00;5.7
2025-02-24 07:00:00+00:00;5.983333333333333
2025-02-24 08:00:00+00:00;6.05
2025-02-24 09:00:00+00:00;5.983333333333333
2025-02-24 10:00:00+00:00;6.1000000000000005
2025-02-24 11:00:00+00:00;6.016666666666667
2025-02-24 12:00:00+00:00;6.05
2025-02-24 13:00:00+00:00;6.383333333333333
2025-02-24 14:00:00+00:00;6.433333333333334
2025-02-24 15:00:00+00:00;6.266666666666667
2025-02-24 16:00:00+00:00;5.916666666666667
2025-02-24 17:00:00+00:00;5.883333333333333
2025-02-24 18:00:00+00:00;5.64
2025-02-24 19:00:00+00:00;5.433333333333334
2025-02-24 20:00:00+00:00;5.383333333333333
2025-02-24 21:00:00+00:00;5.26
2025-02-24 22:00:00+00:00;4.66
2025-02-24 23:00:00+00:00;4.666666666666667
2025-02-25 00:00:00+00:00;4.583333333333333
2025-02-25 01:00:00+00:00;4.55
2025-02-25 02:00:00+00:00;4.316666666666666
2025-02-25 03:00:00+00:00;4.3
2025-02-25 04:00:00+00:00;4.8
2025-02-25 05:00:00+00:00;5.266666666666667
2025-02-25 06:00:00+00:00;5.083333333333333
2025-02-25 07:00:00+00:00;5.033333333333333
2025-02-25 08:00:00+00:00;4.933333333333334
2025-02-25 09:00:00+00:00;4.616666666666666
2025-02-25 10:00:00+00:00;4.516666666666667
2025-02-25 11:00:00+00:00;4.8
2025-02-25 12:00:00+00:00;4.983333333333333
2025-02-25 13:00:00+00:00;4.816666666666666
2025-02-25 14:00:00+00:00;4.866666666666666
2025-02-25 15:00:00+00:00;4.55
2025-02-25 16:00:00+00:00;5.016666666666667
2025-02-25 17:00:00+00:00;4.5
2025-02-25 18:00:00+00:00;4.016666666666667
2025-02-25 19:00:00+00:00;4.12
2025-02-25 20:00:00+00:00;4.16
2025-02-25 21:00:00+00:00;4.133333333333334
2025-02-25 22:00:00+00:00;3.46
2025-02-25 23:00:00+00:00;2.96
2025-02-26 00:00:00+00:00;2.6333333333333333
2025-02-26 01:00:00+00:00;2.566666666666667
2025-02-26 02:00:00+00:00;2.4
2025-02-26 03:00:00+00:00;1.9666666666666668
2025-02-26 04:00:00+00:00;2.1333333333333333
2025-02-26 05:00:00+00:00;3.7399999999999998
2025-02-26 06:00:00+00:00;3.0
2025-02-26 07:00:00+00:00;3.1
2025-02-26 08:00:00+00:00;3.3200000000000003
2025-02-26 09:00:00+00:00;3.6833333333333336
2025-02-26 10:00:00+00:00;4.5
2025-02-26 11:00:00+00:00;4.766666666666667
2025-02-26 12:00:00+00:00;6.3500000000000005
2025-02-26 13:00:00+00:00;6.816666666666666
2025-02-26 14:00:00+00:00;6.866666666666667
2025-02-26 15:00:00+00:00;6.483333333333333
2025-02-26 16:00:00+00:00;5.766666666666667
2025-02-26 17:00:00+00:00;4.583333333333333
2025-02-26 18:00:00+00:00;4.383333333333334
2025-02-26 19:00:00+00:00;4.46
2025-02-26 20:00:00+00:00;3.9333333333333336
2025-02-26 21:00:00+00:00;3.8666666666666667
2025-02-26 22:00:00+00:00;3.4
2025-02-26 23:00:00+00:00;3.3333333333333335
